MGI:107404	Tbr1
MGI:107405	Lefty1
MGI:107410	Zbtb17
MGI:107414	Tnfsf10
MGI:107418	Ptprn2
MGI:107420	Irak1
MGI:107421	Pcsk7
MGI:107422	Hspa4l
MGI:107423	Numb
MGI:107426	Il11ra1
MGI:107427	Elavl4
MGI:107430	Gdnf
MGI:107432	Drp2
MGI:107434	Cdh8
MGI:107435	Cdh6
MGI:107437	Capn3
MGI:107442	Tsil
MGI:107443	Fpr1
MGI:107444	Efna5
MGI:107448	Lyst
MGI:107450	Dld
MGI:107452	Alcp2
MGI:107456	Fts
MGI:107457	Mzf1
MGI:107461	Csn3
MGI:107464	Plcb4
MGI:107465	Plcb2
MGI:107468	Alcp1
MGI:107469	Plcd4
MGI:107471	Notch4
MGI:107472	Clgn
MGI:107474	Cd38
MGI:107476	Stim1
MGI:107477	Stil
MGI:107485	Ralgds
MGI:107486	Pex2
MGI:107487	Pxmp2
MGI:107489	Phex
MGI:107490	Pdcd4
MGI:107492	Nxph1
MGI:107494	Myl12b
MGI:107495	Myl7
MGI:107498	Ltc4s
MGI:107501	Kcnj11
MGI:107502	Hist1h1d
MGI:107504	Gip
MGI:107505	Alox5ap
MGI:107506	Wfdc18
MGI:107507	Evpl
MGI:107508	Ereg
MGI:107516	Gata6
MGI:107527	Ly6a
MGI:107532	Kpnb1
MGI:107537	Cln3
MGI:107538	Klrb1c
MGI:107542	Ccw
MGI:107543	Sox17
MGI:107544	Idd16
MGI:107545	Art2b
MGI:107546	Art2a-ps
MGI:107548	Traf5
MGI:107555	Sema5b
MGI:107556	Sema5a
MGI:107557	Sema3c
MGI:107558	Sema3a
MGI:107559	Sema4b
MGI:107560	Sema4a
MGI:107561	Sema3b
MGI:107562	Arpp21
MGI:107563	Nab2
MGI:107564	Nab1
MGI:107566	Kifap3
MGI:107567	Irgm1
MGI:107569	Epx
MGI:107570	Cav3
MGI:107571	Cav2
MGI:107572	Xiap
MGI:107573	Ott
MGI:107576	Sipa1
MGI:107585	Srebf2
MGI:107587	Irf9
MGI:107588	Gjb6
MGI:107595	Sp4
MGI:107606	Srebf1
MGI:107612	Rtn2
MGI:107619	Hrh1
MGI:107628	Prdm2
MGI:107629	Luzp1
MGI:107633	Lxn
MGI:107634	Larp7
MGI:107636	Scn9a
MGI:107654	Ifngr2
MGI:107655	Ifngr1
MGI:107656	Ifng
MGI:107657	Ifnb1
MGI:107658	Ifnar1
MGI:107662	Ifna6
MGI:107671	Gpm6a
MGI:107672	Gpm6b
MGI:107674	Cd1d1
MGI:107675	Cd1d2
MGI:107676	Tank
MGI:107678	Slc5a1
MGI:107683	Plxna3
MGI:107684	Plxna2
MGI:107685	Plxna1
MGI:107687	Mdfi
MGI:107688	Kif3b
MGI:107689	Kif3a
MGI:107692	Fut7
MGI:107698	Usp17lc
MGI:107700	Casp4
MGI:107704	Abcg1
MGI:107708	Ss18
MGI:107710	Msmr2
MGI:107711	Myo1f
MGI:107712	Msmr1
MGI:107717	Myh9
MGI:107718	Dnah5
MGI:107721	Dnah1
MGI:107724	Lyr3
MGI:107729	Igtp
MGI:107730	Hoxb13
MGI:107732	Myo1a
